"Mode_Damage_Grade";"Number_Buildings";"Mode_Technical_Solutuion";"ward_id";"Percentage_Injury_Loss";"Percentage_Staying";"Number_Deaths";"Number Schools ";"Number Health Post";"has_internet_post";"has_internet_pre";"has_water_pre";"has_water_post";"has_electricity_pre";"has_electricity_post";"Population";"average_income";"Percentage_Education_Level";"Percentage_Bankaccount"
"Grade 5";834;"Reconstruction";280211;0.03195266272189349;0.863905325443787;31;0;0;0.0378698224852071;0.03905325443786982;0.7289940828402367;0.6153846153846154;0.991715976331361;0.9905325443786982;4186;15041.420118343196;0.3905325443786982;0.20118343195266272
"Grade 5";1059;"Reconstruction";280210;0.02376425855513308;0.8231939163498099;36;0;0;0.09980988593155894;0.1112167300380228;0.7338403041825095;0.7167300380228137;0.9876425855513308;0.9828897338403042;5047;18987.64258555133;0.5247148288973384;0.3659695817490494
"Grade 5";845;"Reconstruction";280301;0.015990159901599015;0.8191881918819188;105;0;0;0.014760147601476014;0.013530135301353014;0.991389913899139;0.995079950799508;0.8290282902829028;0.7023370233702337;3906;10467.40467404674;0.13407134071340712;0.01968019680196802
"Grade 5";745;"Reconstruction";281305;0.007936507936507936;0.8333333333333334;22;0;0;0.0;0.0;0.9735449735449735;0.9735449735449735;0.9973544973544973;0.996031746031746;4079;10608.465608465609;0.3439153439153439;0.0873015873015873
"Grade 4";543;"Reconstruction";281306;0.0019305019305019305;0.9034749034749034;12;0;0;0.023166023166023165;0.023166023166023165;0.8223938223938224;0.8223938223938224;0.9942084942084942;0.9961389961389961;2654;12065.637065637065;0.2548262548262548;0.08108108108108109
"Grade 3";920;"Major repair";280108;0.0032967032967032967;0.756043956043956;14;0;0;0.007692307692307693;0.007692307692307693;0.9714285714285714;0.9483516483516483;0.9923076923076923;0.9945054945054945;4705;17181.31868131868;0.42637362637362636;0.36043956043956044
"Grade 4";1130;"Reconstruction";280902;0.012466607301869992;0.8076580587711487;33;0;1;0.007123775601068566;0.006233303650934996;0.9323241317898486;0.9296527159394479;0.9759572573463936;0.968833481745325;6086;14203.027604630453;0.40961709706144256;0.1522707034728406
"Grade 3";727;"Major repair";280109;0.003973509933774834;0.8291390728476821;21;0;0;0.0;0.0;0.8225165562913908;0.7933774834437086;0.9814569536423841;0.9801324503311258;3861;12649.006622516556;0.41721854304635764;0.20794701986754968
"Grade 5";947;"Reconstruction";280404;0.0010649627263045794;0.7667731629392971;26;0;0;0.15867944621938232;0.15867944621938232;0.9243876464323749;0.865814696485623;0.9861554845580405;0.9840255591054313;4558;19158.679446219383;0.2747603833865815;0.21299254526091588
"Grade 5";859;"Reconstruction";280405;0.0064794816414686825;0.7526997840172787;4;1;0;0.10583153347732181;0.10691144708423327;0.9881209503239741;0.9892008639308856;0.9967602591792657;0.9967602591792657;4387;14762.419006479482;0.4406047516198704;0.19438444924406048
"Grade 5";923;"Reconstruction";281104;0.017241379310344827;0.5811359026369168;48;0;0;0.005070993914807302;0.0030425963488843813;0.9858012170385395;0.9503042596348884;0.9817444219066938;0.9837728194726166;4968;15780.933062880325;0.2231237322515213;0.08924949290060852
"Grade 5";1714;"Reconstruction";280213;0.0346749226006192;0.725077399380805;78;0;0;0.015479876160990712;0.01609907120743034;0.9739938080495356;0.9591331269349845;0.978328173374613;0.9721362229102167;8245;15151.70278637771;0.31331269349845203;0.15975232198142414
"Grade 5";1061;"Reconstruction";280503;0.025565388397246803;0.8220255653883972;79;0;0;0.0;0.0;;0.9970501474926253;0.984267453294002;0.984267453294002;4665;15968.534906588004;0.28121927236971483;0.10619469026548672
"Grade 5";1532;"Reconstruction";280203;0.005147058823529412;0.8389705882352941;44;1;0;0.0022058823529411764;0.0022058823529411764;0.6911764705882353;0.6911764705882353;0.9919117647058824;0.9911764705882353;6512;13573.529411764706;0.38235294117647056;0.32573529411764707
"Grade 5";925;"Reconstruction";281203;0.018085106382978722;0.752127659574468;21;0;0;0.17553191489361702;0.15531914893617021;0.6946808510638298;0.6968085106382979;0.9829787234042553;0.9829787234042553;5136;14595.744680851063;0.4819148936170213;0.35319148936170214
"Grade 5";1079;"Reconstruction";280701;0.022271714922048998;0.576837416481069;31;0;0;0.005567928730512249;0.005567928730512249;0.8340757238307349;0.8084632516703786;0.9498886414253898;0.9510022271714922;4357;16920.935412026727;0.4955456570155902;0.23496659242761692
"Grade 5";611;"Reconstruction";280702;0.02936096718480138;0.6442141623488774;18;0;0;0.0051813471502590676;0.008635578583765112;0.5457685664939551;0.5492227979274611;0.9481865284974094;0.9360967184801382;2796;13670.120898100173;0.38341968911917096;0.27288428324697755
"Grade 5";731;"Reconstruction";280804;0.021865889212827987;0.5903790087463557;23;0;0;0.004373177842565598;0.0058309037900874635;0.9271137026239067;0.9329446064139941;0.7376093294460642;0.6545189504373178;2905;13046.6472303207;0.30612244897959184;0.1239067055393586
"Grade 5";945;"Reconstruction";280103;0.0062827225130890054;0.818848167539267;31;0;0;0.0010471204188481676;0.0;0.7821989528795812;0.8031413612565445;0.912041884816754;0.8942408376963351;4857;12764.397905759162;0.5214659685863874;0.18010471204188483
"Grade 5";753;"Reconstruction";280102;0.009433962264150943;0.8153638814016172;18;3;0;0.03638814016172507;0.04177897574123989;0.5741239892183289;0.5916442048517521;0.9568733153638814;0.9380053908355795;3582;13942.048517520216;0.42318059299191374;0.1293800539083558
"Grade 5";1066;"Reconstruction";281101;0.007920792079207921;0.8831683168316832;23;1;0;0.0019801980198019802;0.0019801980198019802;0.6039603960396039;0.6049504950495049;0.9821782178217822;0.9752475247524752;5062;13272.277227722772;0.2;0.04950495049504951
"Grade 5";771;"Reconstruction";281002;0.0029806259314456036;0.7734724292101341;37;0;0;0.11922503725782414;0.12071535022354694;0.6810730253353204;0.6810730253353204;0.9970193740685543;0.9970193740685543;3548;18055.141579731742;0.3561847988077496;0.17287630402384502
"Grade 4";1070;"Reconstruction";280113;0.012987012987012988;0.735621521335807;20;0;0;0.2847866419294991;0.2884972170686456;0.6614100185528757;0.660482374768089;0.9712430426716141;0.9656771799628943;5213;12527.8293135436;0.3654916512059369;0.17717996289424862
